epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,945.4,0.41252,0.48105,0.60638,0.83589,0.99589,1,0.995,0.92029,0.99589,1,0.995,0.92772,0.37598,0.42363,0.62589,0.80379,0.0007724,0.0007724,0.0007724
33,974.575,0.47182,0.48948,0.58974,0.84115,0.99591,1,0.995,0.93977,0.99591,1,0.995,0.92243,0.34961,0.39889,0.59748,0.79684,0.0007328,0.0007328,0.0007328
34,1003.84,0.46737,0.4868,0.55796,0.86519,0.99594,1,0.995,0.9351,0.99594,1,0.995,0.93649,0.4048,0.39658,0.63106,0.81488,0.0006932,0.0006932,0.0006932
35,1031.69,0.45939,0.44419,0.61069,0.84663,0.99582,1,0.995,0.91372,0.99582,1,0.995,0.92029,0.40406,0.3855,0.62628,0.80776,0.0006536,0.0006536,0.0006536
36,1059.7,0.42549,0.41424,0.57214,0.85835,0.99535,1,0.995,0.93384,0.99535,1,0.995,0.92644,0.36318,0.36536,0.65671,0.79695,0.000614,0.000614,0.000614
37,1089.18,0.44667,0.42055,0.58075,0.84034,0.99595,1,0.995,0.94434,0.99595,1,0.995,0.92257,0.37528,0.36321,0.6616,0.80436,0.0005744,0.0005744,0.0005744
38,1119.18,0.43205,0.49115,0.56744,0.84205,0.99593,1,0.995,0.92967,0.99593,1,0.995,0.92967,0.36558,0.39356,0.57504,0.79283,0.0005348,0.0005348,0.0005348
39,1150.24,0.42706,0.45968,0.59948,0.85502,0.99599,1,0.995,0.93625,0.99599,1,0.995,0.92967,0.33169,0.42126,0.54978,0.7846,0.0004952,0.0004952,0.0004952
40,1179.91,0.42255,0.44615,0.54617,0.84217,0.99597,1,0.995,0.90904,0.99597,1,0.995,0.93677,0.38015,0.40766,0.55847,0.80274,0.0004556,0.0004556,0.0004556
41,1210.49,0.39716,0.39382,0.6196,0.84251,0.99596,1,0.995,0.93167,0.99596,1,0.995,0.94039,0.32996,0.40434,0.54727,0.78455,0.000416,0.000416,0.000416
42,1240.72,0.3945,0.45554,0.61125,0.84805,0.99577,1,0.995,0.92967,0.99577,1,0.995,0.93343,0.33881,0.38721,0.60595,0.79054,0.0003764,0.0003764,0.0003764
43,1271.8,0.36147,0.37148,0.61704,0.85444,0.99567,1,0.995,0.93049,0.99567,1,0.995,0.94501,0.35166,0.38284,0.62244,0.79449,0.0003368,0.0003368,0.0003368
44,1300.78,0.33864,0.37797,0.61258,0.82924,0.99582,1,0.995,0.94446,0.99582,1,0.995,0.93722,0.30469,0.3723,0.56887,0.77998,0.0002972,0.0002972,0.0002972
45,1329.23,0.33326,0.38643,0.57528,0.84539,0.99586,1,0.995,0.96094,0.99586,1,0.995,0.93539,0.28614,0.36869,0.52505,0.77535,0.0002576,0.0002576,0.0002576
46,1358.08,0.3227,0.36852,0.54852,0.81269,0.99584,1,0.995,0.96511,0.99584,1,0.995,0.93491,0.27914,0.36319,0.52175,0.76922,0.000218,0.000218,0.000218
47,1388.13,0.29762,0.36595,0.5283,0.81907,0.99594,1,0.995,0.96511,0.99594,1,0.995,0.91767,0.29763,0.36441,0.5258,0.77047,0.0001784,0.0001784,0.0001784
48,1418.54,0.30818,0.35968,0.52015,0.81834,0.99585,1,0.995,0.96652,0.99585,1,0.995,0.92291,0.32463,0.35702,0.51958,0.77795,0.0001388,0.0001388,0.0001388
49,1447.54,0.33947,0.35452,0.53321,0.79981,0.99588,1,0.995,0.95353,0.99588,1,0.995,0.92265,0.32308,0.35388,0.51553,0.77735,9.92e-05,9.92e-05,9.92e-05
50,1475.08,0.30893,0.37441,0.54194,0.83065,0.99595,1,0.995,0.9427,0.99595,1,0.995,0.92235,0.30069,0.35011,0.5114,0.77246,5.96e-05,5.96e-05,5.96e-05
